pokemon_id,sort_order,kind,move
1,110,machine,メロメロ
1,190,machine,タネマシンガン
1,10,hm,いあいぎり
1,50,machine,かげぶんしん
1,170,machine,からげんき
1,60,hm,フラッシュ
1,130,machine,やつあたり
1,100,machine,ギガドレイン
1,140,machine,めざめるパワー
1,80,machine,まもる
1,70,machine,ねむる
1,120,machine,おんがえし
1,160,hm,いわくだき
1,180,machine,ひみつのちから
1,90,machine,ヘドロばくだん
1,30,machine,ソーラービーム
1,20,hm,かいりき
1,150,machine,にほんばれ
1,40,machine,どくどく
2,110,machine,メロメロ
2,190,machine,タネマシンガン
2,10,hm,いあいぎり
2,50,machine,かげぶんしん
2,170,machine,からげんき
2,60,hm,フラッシュ
2,130,machine,やつあたり
2,100,machine,ギガドレイン
2,140,machine,めざめるパワー
2,80,machine,まもる
2,70,machine,ねむる
2,120,machine,おんがえし
2,160,hm,いわくだき
2,180,machine,ひみつのちから
2,90,machine,ヘドロばくだん
2,30,machine,ソーラービーム
2,20,hm,かいりき
2,150,machine,にほんばれ
2,40,machine,どくどく
3,140,machine,メロメロ
3,220,machine,タネマシンガン
3,10,hm,いあいぎり
3,80,machine,かげぶんしん
3,60,machine,じしん
3,200,machine,からげんき
3,90,hm,フラッシュ
3,160,machine,やつあたり
3,130,machine,ギガドレイン
3,170,machine,めざめるパワー
3,30,machine,はかいこうせん
3,110,machine,まもる
3,100,machine,ねむる
3,150,machine,おんがえし
3,20,machine,ほえる
3,190,hm,いわくだき
3,210,machine,ひみつのちから
3,120,machine,ヘドロばくだん
3,50,machine,ソーラービーム
3,40,hm,かいりき
3,180,machine,にほんばれ
3,70,machine,どくどく
4,220,machine,つばめがえし
4,100,machine,メロメロ
4,190,machine,かわらわり
4,10,hm,いあいぎり
4,40,machine,あなをほる
4,60,machine,かげぶんしん
4,230,machine,ドラゴンクロー
4,170,machine,からげんき
4,70,machine,だいもんじ
4,20,machine,かえんほうしゃ
4,180,machine,きあいパンチ
4,120,machine,やつあたり
4,140,machine,めざめるパワー
4,130,machine,アイアンテール
4,210,machine,オーバーヒート
4,90,machine,まもる
4,80,machine,ねむる
4,110,machine,おんがえし
4,160,hm,いわくだき
4,200,machine,ひみつのちから
4,30,hm,かいりき
4,150,machine,にほんばれ
4,50,machine,どくどく
5,220,machine,つばめがえし
5,100,machine,メロメロ
5,190,machine,かわらわり
5,10,hm,いあいぎり
5,40,machine,あなをほる
5,60,machine,かげぶんしん
5,230,machine,ドラゴンクロー
5,170,machine,からげんき
5,70,machine,だいもんじ
5,20,machine,かえんほうしゃ
5,180,machine,きあいパンチ
5,120,machine,やつあたり
5,140,machine,めざめるパワー
5,130,machine,アイアンテール
5,210,machine,オーバーヒート
5,90,machine,まもる
5,80,machine,ねむる
5,110,machine,おんがえし
5,160,hm,いわくだき
5,200,machine,ひみつのちから
5,30,hm,かいりき
5,150,machine,にほんばれ
5,50,machine,どくどく
6,270,machine,つばめがえし
6,150,machine,メロメロ
6,240,machine,かわらわり
6,10,hm,いあいぎり
6,80,machine,あなをほる
6,100,machine,かげぶんしん
6,280,machine,ドラゴンクロー
6,70,machine,じしん
6,220,machine,からげんき
6,110,machine,だいもんじ
6,40,machine,かえんほうしゃ
6,20,hm,そらをとぶ
6,230,machine,きあいパンチ
6,170,machine,やつあたり
6,190,machine,めざめるパワー
6,50,machine,はかいこうせん
6,180,machine,アイアンテール
6,260,machine,オーバーヒート
6,130,machine,まもる
6,120,machine,ねむる
6,160,machine,おんがえし
6,30,machine,ほえる
6,210,hm,いわくだき
6,250,machine,ひみつのちから
6,140,machine,はがねのつばさ
6,60,hm,かいりき
6,200,machine,にほんばれ
6,90,machine,どくどく
7,110,machine,メロメロ
7,30,machine,ふぶき
7,210,machine,かわらわり
7,50,machine,あなをほる
7,230,hm,ダイビング
7,70,machine,かげぶんしん
7,190,machine,からげんき
7,200,machine,きあいパンチ
7,130,machine,やつあたり
7,180,machine,あられ
7,150,machine,めざめるパワー
7,20,machine,れいとうビーム
7,140,machine,アイアンテール
7,100,machine,まもる
7,160,machine,あまごい
7,90,machine,ねむる
